dataset, network, layer, 1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
D3, CNNResnet, 4, 0.47681, 0.51923, 0.39722, 0.53182, 0.56714, 0.70000, 0.54028, 0.33333, 0.28250, 0.61739, 0.51942, 0.00000, 0.40000, 0.00000, 0.00000
D3, CNNResnet, 5, 0.48986, 0.57548, 0.74444, 0.69148, 0.42120, 0.38358, 0.59306, 0.33485, 0.47000, 0.60000, 0.84757, 0.00000, 0.38000, 0.00000, 0.00000
D3, SECNNResnet, 0, 0.36522, 0.40721, 0.71667, 0.36761, 0.37915, 0.88657, 0.28472, 0.70455, 0.51500, 0.78696, 0.15340, 0.00000, 0.04000, 0.00000, 0.00000
D3, SECNNResnet, 1, 0.29855, 0.50817, 0.10694, 0.42273, 0.39647, 0.72388, 0.30000, 0.82121, 0.59250, 0.43913, 0.12913, 0.00000, 0.00000, 0.00000, 0.00000
D3, SECNNResnet, 2, 0.30580, 0.50337, 0.10000, 0.40170, 0.39505, 0.74478, 0.33750, 0.82727, 0.59750, 0.43043, 0.12913, 0.00000, 0.00000, 0.00000, 0.00000
D3, SECNNResnet, 3, 0.32319, 0.52788, 0.85417, 0.49943, 0.42898, 0.22836, 0.43750, 0.49394, 0.71000, 0.75217, 0.80777, 0.00000, 0.80000, 0.00000, 0.00000
D3, SECNNResnet, 4, 0.57826, 0.62740, 0.84722, 0.65398, 0.47986, 0.30299, 0.56944, 0.35000, 0.70250, 0.78261, 0.84175, 0.00000, 0.90000, 0.00000, 0.00000
D3, SECNNResnet, 5, 0.29855, 0.44279, 0.26528, 0.44432, 0.54594, 0.34776, 0.46250, 0.26515, 0.17750, 0.63043, 0.45631, 0.00000, 0.08000, 0.00000, 0.00000
D3, SECNNResnet, 6, 0.24493, 0.47308, 0.23333, 0.44773, 0.55194, 0.34776, 0.42917, 0.32424, 0.19500, 0.56087, 0.43398, 0.00000, 0.08000, 0.00000, 0.00000
D3, SECNNResnet, 7, 0.68116, 0.59615, 0.66111, 0.61364, 0.59894, 0.28358, 0.58611, 0.35909, 0.60500, 0.67826, 0.81845, 0.00000, 0.08000, 0.00000, 0.00000
D3, CBAM-CNNResnet, 0, 0.33768, 0.41779, 0.72639, 0.37841, 0.39894, 0.70597, 0.41111, 0.76970, 0.35250, 0.74348, 0.06408, 0.00000, 0.26000, 0.00000, 0.00000
D3, CBAM-CNNResnet, 1, 0.19565, 0.38413, 0.51528, 0.34034, 0.31484, 0.58358, 0.22500, 0.89242, 0.68000, 0.56087, 0.36505, 0.00000, 1.00000, 0.00000, 0.00000
D3, CBAM-CNNResnet, 2, 0.20290, 0.38269, 0.48611, 0.33864, 0.30212, 0.61045, 0.22917, 0.89545, 0.68750, 0.58261, 0.21262, 0.00000, 1.00000, 0.00000, 0.00000
D3, CBAM-CNNResnet, 3, 0.19565, 0.37548, 0.51389, 0.34716, 0.34028, 0.58955, 0.34306, 0.85606, 0.69500, 0.61304, 0.24854, 0.00000, 1.00000, 0.00000, 0.00000
D3, CBAM-CNNResnet, 4, 0.05942, 0.37596, 0.74861, 0.46477, 0.26325, 0.16269, 0.24306, 0.46061, 0.63000, 0.71304, 0.34757, 0.00000, 0.94000, 0.00000, 0.00000
D3, CBAM-CNNResnet, 5, 0.46232, 0.56923, 0.85694, 0.60568, 0.54134, 0.38209, 0.49167, 0.33030, 0.72500, 0.82609, 0.91942, 0.00000, 1.00000, 0.00000, 0.00000
D3, CBAM-CNNResnet, 6, 0.64638, 0.72981, 0.49444, 0.54205, 0.71555, 0.32687, 0.45278, 0.56061, 0.28500, 0.85217, 0.50583, 0.00000, 0.00000, 0.00000, 0.00000
D3, CBAM-CNNResnet, 7, 0.61594, 0.75337, 0.48889, 0.55341, 0.68940, 0.34179, 0.41944, 0.53485, 0.27750, 0.93478, 0.61553, 0.00000, 0.00000, 0.00000, 0.00000
D3, CBAM-CNNResnet, 8, 0.59420, 0.74952, 0.47222, 0.58239, 0.70989, 0.46119, 0.44722, 0.46061, 0.27500, 0.93913, 0.56505, 0.00000, 0.00000, 0.00000, 0.00000
D3, CBAM-CNNResnet, 9, 0.55072, 0.63077, 0.86806, 0.60227, 0.49788, 0.37164, 0.55278, 0.32273, 0.62000, 0.84348, 0.92816, 0.00000, 0.76000, 0.00000, 0.00000
