dataset, network, layer, 1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
D2, SECNNResnet, 3, 0.01124, 0.14731, 0.07000, 0.12053, 0.11778, 0.06227, 0.04390, 0.11165, 0.03693, 0.02889, 0.09712, 0.00000, 0.01011, 0.00000, 0.00000
D2, SECNNResnet, 4, 0.05968, 0.28268, 0.07549, 0.24732, 0.19986, 0.06946, 0.08652, 0.06720, 0.04888, 0.04370, 0.24516, 0.00000, 0.01096, 0.00000, 0.00000
D2, SECNNResnet, 5, 0.02356, 0.15779, 0.03932, 0.09046, 0.11000, 0.06668, 0.04530, 0.06517, 0.05776, 0.04055, 0.05212, 0.00000, 0.00138, 0.00000, 0.00000
D2, SECNNResnet, 6, 0.02357, 0.16320, 0.04583, 0.08930, 0.10450, 0.06761, 0.04411, 0.06321, 0.05619, 0.03695, 0.05156, 0.00000, 0.00139, 0.00000, 0.00000
D2, SECNNResnet, 7, 0.09593, 0.29310, 0.16138, 0.25389, 0.25283, 0.07367, 0.11415, 0.07310, 0.06820, 0.04346, 0.26060, 0.00000, 0.00896, 0.00000, 0.00000
D2, CBAM-CNNResnet, 0, 0.07925, 0.29198, 0.23033, 0.14992, 0.11047, 0.04500, 0.13249, 0.05082, 0.08189, 0.04537, 0.34535, 0.00000, 0.01282, 0.00000, 0.00000
D2, CBAM-CNNResnet, 1, 0.01144, 0.11078, 0.02323, 0.11695, 0.13607, 0.06224, 0.06961, 0.05250, 0.03435, 0.01348, 0.21375, 0.00000, 0.00746, 0.00000, 0.00000
D2, CBAM-CNNResnet, 2, 0.01590, 0.11491, 0.05847, 0.20516, 0.13639, 0.06507, 0.07416, 0.05510, 0.03218, 0.01417, 0.24251, 0.00000, 0.00627, 0.00000, 0.00000
D2, CBAM-CNNResnet, 3, 0.10671, 0.17410, 0.09835, 0.21281, 0.28085, 0.06517, 0.06913, 0.06387, 0.03610, 0.01647, 0.16225, 0.00000, 0.00695, 0.00000, 0.00000
D2, CBAM-CNNResnet, 4, 0.08687, 0.28306, 0.22987, 0.28813, 0.18608, 0.04817, 0.13729, 0.05047, 0.06953, 0.04000, 0.37557, 0.00000, 0.02161, 0.00000, 0.00000
D2, CBAM-CNNResnet, 5, 0.10724, 0.28292, 0.21373, 0.27948, 0.30946, 0.05532, 0.10146, 0.06556, 0.06426, 0.04221, 0.31623, 0.00000, 0.01793, 0.00000, 0.00000
D2, CBAM-CNNResnet, 6, 0.02955, 0.20779, 0.08177, 0.08118, 0.08454, 0.04882, 0.05206, 0.06110, 0.03777, 0.02253, 0.04723, 0.00000, 0.00026, 0.00000, 0.00000
D2, CBAM-CNNResnet, 7, 0.04842, 0.22994, 0.08404, 0.08368, 0.09037, 0.04626, 0.07726, 0.06103, 0.03279, 0.02317, 0.06707, 0.00000, 0.00052, 0.00000, 0.00000
D2, CBAM-CNNResnet, 8, 0.08626, 0.19434, 0.06754, 0.17611, 0.31828, 0.05216, 0.08321, 0.05022, 0.02125, 0.02318, 0.08470, 0.00000, 0.00052, 0.00000, 0.00000
D2, CBAM-CNNResnet, 9, 0.11345, 0.29468, 0.23305, 0.28170, 0.31563, 0.05524, 0.10248, 0.06926, 0.05867, 0.04734, 0.34663, 0.00000, 0.00000, 0.00000, 0.00000
D3, CNN, 0, 0.20530, 0.41121, 0.26478, 0.28003, 0.38194, 0.02456, 0.24133, 0.07611, 0.11690, 0.05613, 0.38722, 0.00000, 0.01720, 0.00000, 0.00000
D3, CNN, 1, 0.17926, 0.39591, 0.22777, 0.27730, 0.37316, 0.03273, 0.20030, 0.08293, 0.10033, 0.05018, 0.32187, 0.00000, 0.01698, 0.00000, 0.00000
D3, SECNN, 0, 0.13534, 0.11613, 0.17807, 0.27218, 0.11594, 0.04324, 0.12805, 0.05060, 0.04427, 0.05393, 0.29590, 0.00000, 0.01556, 0.00000, 0.00000
D3, SECNN, 1, 0.14606, 0.18428, 0.17869, 0.27626, 0.25337, 0.04654, 0.14356, 0.05085, 0.06086, 0.05295, 0.29718, 0.00000, 0.01545, 0.00000, 0.00000
D3, SECNN, 2, 0.12536, 0.24267, 0.16677, 0.24633, 0.29015, 0.05719, 0.10971, 0.05721, 0.05488, 0.04412, 0.26752, 0.00000, 0.01313, 0.00000, 0.00000
D3, SECNN, 3, 0.12532, 0.24263, 0.16677, 0.24657, 0.29004, 0.05714, 0.10973, 0.05768, 0.05479, 0.04414, 0.26748, 0.00000, 0.01312, 0.00000, 0.00000
D3, CBAM-CNN, 0, 0.16668, 0.10497, 0.23122, 0.27118, 0.10833, 0.04099, 0.19247, 0.05861, 0.10044, 0.07243, 0.36185, 0.00000, 0.01636, 0.00000, 0.00000
D3, CBAM-CNN, 1, 0.16579, 0.10220, 0.22403, 0.24805, 0.11152, 0.03580, 0.19113, 0.06044, 0.10000, 0.07430, 0.36346, 0.00000, 0.01608, 0.00000, 0.00000
D3, CBAM-CNN, 2, 0.14424, 0.10786, 0.07422, 0.09331, 0.12623, 0.03837, 0.18710, 0.06293, 0.09261, 0.06929, 0.37594, 0.00000, 0.01568, 0.00000, 0.00000
D3, CBAM-CNN, 3, 0.14403, 0.19560, 0.20716, 0.16554, 0.09809, 0.05793, 0.15289, 0.06190, 0.09482, 0.05743, 0.34659, 0.00000, 0.01287, 0.00000, 0.00000
D3, CBAM-CNN, 4, 0.14284, 0.26965, 0.21127, 0.20775, 0.09489, 0.05832, 0.15085, 0.06294, 0.09362, 0.05678, 0.34545, 0.00000, 0.01287, 0.00000, 0.00000
D3, CBAM-CNN, 5, 0.14680, 0.30208, 0.21970, 0.25956, 0.28992, 0.05323, 0.15795, 0.06500, 0.09758, 0.05779, 0.33997, 0.00000, 0.01253, 0.00000, 0.00000
D3, CNNResnet, 0, 0.02739, 0.07431, 0.20492, 0.05013, 0.12200, 0.05283, 0.02564, 0.06009, 0.01932, 0.05604, 0.14115, 0.00000, 0.00323, 0.00000, 0.00000
D3, CNNResnet, 1, 0.02012, 0.09982, 0.02387, 0.07956, 0.19613, 0.05254, 0.03099, 0.05572, 0.01839, 0.03079, 0.02434, 0.00000, 0.00481, 0.00000, 0.00000
D3, CNNResnet, 2, 0.01740, 0.13931, 0.08392, 0.12255, 0.20784, 0.05181, 0.03498, 0.06049, 0.02770, 0.03036, 0.08131, 0.00000, 0.00748, 0.00000, 0.00000
D3, CNNResnet, 3, 0.07467, 0.23289, 0.15510, 0.25073, 0.16506, 0.06732, 0.08917, 0.07269, 0.04996, 0.04433, 0.24162, 0.00000, 0.00802, 0.00000, 0.00000
D3, CNNResnet, 4, 0.08707, 0.20953, 0.06631, 0.10376, 0.20233, 0.05932, 0.09831, 0.04305, 0.01790, 0.03023, 0.07006, 0.00000, 0.00256, 0.00000, 0.00000
D3, CNNResnet, 5, 0.09112, 0.27066, 0.13551, 0.26250, 0.23640, 0.07038, 0.11032, 0.06071, 0.04981, 0.03270, 0.29090, 0.00000, 0.00309, 0.00000, 0.00000
D3, SECNNResnet, 0, 0.04650, 0.08758, 0.19345, 0.07037, 0.11551, 0.06562, 0.04863, 0.05106, 0.04843, 0.05983, 0.01532, 0.00000, 0.00025, 0.00000, 0.00000
D3, SECNNResnet, 1, 0.02530, 0.12730, 0.01102, 0.08194, 0.12000, 0.05671, 0.03559, 0.06806, 0.03784, 0.01773, 0.01457, 0.00000, 0.00000, 0.00000, 0.00000
D3, SECNNResnet, 2, 0.02467, 0.12806, 0.00970, 0.07833, 0.11947, 0.05791, 0.03309, 0.06763, 0.03690, 0.01755, 0.01461, 0.00000, 0.00000, 0.00000, 0.00000
