dataset, network, layer, 1,2,3,4,5,6,7,8,9
D2, CBAM-CNNResnet, 7, 0.00000, 0.00000, 0.00000, 0.00000, 0.90000, 0.00000, 0.00000, 0.00000, 0.00000
D2, CBAM-CNNResnet, 8, 0.00000, 0.00000, 0.00000, 0.00000, 0.36842, 0.00000, 0.00000, 0.00000, 0.00000
D2, CBAM-CNNResnet, 9, 0.00000, 0.00000, 0.00000, 0.00000, 0.18947, 0.00000, 0.00000, 0.00000, 0.00000
D3, CNN, 0, 0.00000, 0.00000, 0.00000, 0.00000, 0.10526, 0.00000, 0.00000, 0.00000, 0.00000
D3, CNN, 1, 0.00000, 0.00000, 0.00000, 0.00000, 0.15789, 0.00000, 0.00000, 0.00000, 0.00000
D3, SECNN, 0, 0.00000, 0.00000, 0.00000, 0.00000, 0.61579, 0.00000, 0.00000, 0.00000, 0.00000
D3, SECNN, 1, 0.00000, 0.00000, 0.00000, 0.00000, 0.48421, 0.00000, 0.00000, 0.00000, 0.00000
D3, SECNN, 2, 0.00000, 0.00000, 0.00000, 0.00000, 0.42105, 0.00000, 0.00000, 0.00000, 0.00000
D3, SECNN, 3, 0.00000, 0.00000, 0.00000, 0.00000, 0.42632, 0.00000, 0.00000, 0.00000, 0.00000
D3, CBAM-CNN, 0, 0.00000, 0.00000, 0.00000, 0.00000, 0.36842, 0.00000, 0.00000, 0.00000, 0.00000
D3, CBAM-CNN, 1, 0.00000, 0.00000, 0.00000, 0.00000, 0.54211, 0.00000, 0.00000, 0.00000, 0.00000
D3, CBAM-CNN, 2, 0.00000, 0.00000, 0.00000, 0.00000, 0.71053, 0.00000, 0.00000, 0.00000, 0.00000
D3, CBAM-CNN, 3, 0.00000, 0.00000, 0.00000, 0.00000, 0.70000, 0.00000, 0.00000, 0.00000, 0.00000
D3, CBAM-CNN, 4, 0.00000, 0.00000, 0.00000, 0.00000, 0.56316, 0.00000, 0.00000, 0.00000, 0.00000
D3, CBAM-CNN, 5, 0.00000, 0.00000, 0.00000, 0.00000, 0.38947, 0.00000, 0.00000, 0.00000, 0.00000
D3, CNNResnet, 0, 0.00000, 0.00000, 0.00000, 0.00000, 0.77895, 0.00000, 0.00000, 0.00000, 0.00000
D3, CNNResnet, 1, 0.00000, 0.00000, 0.00000, 0.00000, 0.84211, 0.00000, 0.00000, 0.00000, 0.00000
D3, CNNResnet, 2, 0.00000, 0.00000, 0.00000, 0.00000, 0.85263, 0.00000, 0.00000, 0.00000, 0.00000
D3, CNNResnet, 3, 0.00000, 0.00000, 0.00000, 0.00000, 0.27895, 0.00000, 0.00000, 0.00000, 0.00000
D3, CNNResnet, 4, 0.00000, 0.00000, 0.00000, 0.00000, 0.82105, 0.00000, 0.00000, 0.00000, 0.00000
D3, CNNResnet, 5, 0.00000, 0.00000, 0.00000, 0.00000, 0.57368, 0.00000, 0.00000, 0.00000, 0.00000
D3, SECNNResnet, 0, 0.00000, 0.00000, 0.00000, 0.00000, 0.92105, 0.00000, 0.00000, 0.00000, 0.00000
D3, SECNNResnet, 1, 0.00000, 0.00000, 0.00000, 0.00000, 0.93684, 0.00000, 0.00000, 0.00000, 0.00000
D3, SECNNResnet, 2, 0.00000, 0.00000, 0.00000, 0.00000, 0.93684, 0.00000, 0.00000, 0.00000, 0.00000
D3, SECNNResnet, 3, 0.00000, 0.00000, 0.00000, 0.00000, 0.08947, 0.00000, 0.00000, 0.00000, 0.00000
D3, SECNNResnet, 4, 0.00000, 0.00000, 0.00000, 0.00000, 0.07368, 0.00000, 0.00000, 0.00000, 0.00000
D3, SECNNResnet, 5, 0.00000, 0.00000, 0.00000, 0.00000, 0.61579, 0.00000, 0.00000, 0.00000, 0.00000
D3, SECNNResnet, 6, 0.00000, 0.00000, 0.00000, 0.00000, 0.61579, 0.00000, 0.00000, 0.00000, 0.00000
D3, SECNNResnet, 7, 0.00000, 0.00000, 0.00000, 0.00000, 0.07895, 0.00000, 0.00000, 0.00000, 0.00000
D3, CBAM-CNNResnet, 0, 0.00000, 0.00000, 0.00000, 0.00000, 0.89474, 0.00000, 0.00000, 0.00000, 0.00000
D3, CBAM-CNNResnet, 1, 0.00000, 0.00000, 0.00000, 0.00000, 0.92105, 0.00000, 0.00000, 0.00000, 0.00000
D3, CBAM-CNNResnet, 2, 0.00000, 0.00000, 0.00000, 0.00000, 0.89474, 0.00000, 0.00000, 0.00000, 0.00000
D3, CBAM-CNNResnet, 3, 0.00000, 0.00000, 0.00000, 0.00000, 0.86316, 0.00000, 0.00000, 0.00000, 0.00000
D3, CBAM-CNNResnet, 4, 0.00000, 0.00000, 0.00000, 0.00000, 0.89474, 0.00000, 0.00000, 0.00000, 0.00000
D3, CBAM-CNNResnet, 5, 0.00000, 0.00000, 0.00000, 0.00000, 0.18421, 0.00000, 0.00000, 0.00000, 0.00000
D3, CBAM-CNNResnet, 6, 0.00000, 0.00000, 0.00000, 0.00000, 0.80526, 0.00000, 0.00000, 0.00000, 0.00000
D3, CBAM-CNNResnet, 7, 0.00000, 0.00000, 0.00000, 0.00000, 0.57895, 0.00000, 0.00000, 0.00000, 0.00000
D3, CBAM-CNNResnet, 8, 0.00000, 0.00000, 0.00000, 0.00000, 0.47368, 0.00000, 0.00000, 0.00000, 0.00000
D3, CBAM-CNNResnet, 9, 0.00000, 0.00000, 0.00000, 0.00000, 0.11579, 0.00000, 0.00000, 0.00000, 0.00000
