dataset, network, layer, 1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
D3, CNN, 0, 0.11441, 0.25892, 0.15260, 0.16284, 0.23628, 0.01244, 0.13724, 0.03957, 0.06208, 0.02888, 0.24011, 0.00000, 0.00867, 0.00000, 0.00000
D3, CNN, 1, 0.09847, 0.24686, 0.12853, 0.16098, 0.22946, 0.01664, 0.11131, 0.04327, 0.05282, 0.02574, 0.19181, 0.00000, 0.00856, 0.00000, 0.00000
D3, SECNN, 0, 0.07263, 0.06172, 0.09775, 0.15755, 0.06154, 0.02210, 0.06851, 0.02596, 0.02272, 0.02773, 0.17366, 0.00000, 0.00785, 0.00000, 0.00000
D3, SECNN, 1, 0.07880, 0.10361, 0.09812, 0.16028, 0.14813, 0.02383, 0.07737, 0.02609, 0.03140, 0.02720, 0.17455, 0.00000, 0.00780, 0.00000, 0.00000
D3, SECNN, 2, 0.06688, 0.13811, 0.09098, 0.14048, 0.16971, 0.02944, 0.05805, 0.02945, 0.02821, 0.02256, 0.15443, 0.00000, 0.00661, 0.00000, 0.00000
D3, SECNN, 3, 0.06686, 0.13808, 0.09098, 0.14064, 0.16964, 0.02941, 0.05807, 0.02970, 0.02817, 0.02257, 0.15441, 0.00000, 0.00660, 0.00000, 0.00000
D3, CBAM-CNN, 0, 0.09092, 0.05732, 0.13073, 0.15687, 0.05736, 0.02093, 0.10649, 0.03019, 0.05288, 0.03762, 0.22091, 0.00000, 0.00825, 0.00000, 0.00000
D3, CBAM-CNN, 1, 0.09039, 0.05570, 0.12620, 0.14273, 0.05910, 0.01823, 0.10567, 0.03116, 0.05264, 0.03861, 0.22211, 0.00000, 0.00810, 0.00000, 0.00000
D3, CBAM-CNN, 2, 0.07817, 0.05774, 0.04182, 0.05004, 0.06737, 0.01957, 0.10327, 0.03249, 0.04873, 0.03589, 0.23151, 0.00000, 0.00790, 0.00000, 0.00000
D3, CBAM-CNN, 3, 0.07761, 0.11024, 0.11557, 0.09148, 0.05158, 0.02984, 0.08278, 0.03194, 0.04977, 0.02957, 0.20963, 0.00000, 0.00647, 0.00000, 0.00000
D3, CBAM-CNN, 4, 0.07692, 0.15632, 0.11812, 0.11641, 0.04985, 0.03004, 0.08159, 0.03249, 0.04911, 0.02922, 0.20879, 0.00000, 0.00648, 0.00000, 0.00000
D3, CBAM-CNN, 5, 0.07922, 0.17793, 0.12341, 0.14915, 0.16962, 0.02735, 0.08575, 0.03359, 0.05130, 0.02976, 0.20481, 0.00000, 0.00630, 0.00000, 0.00000
D3, CNNResnet, 0, 0.01389, 0.03859, 0.11541, 0.02571, 0.06496, 0.02713, 0.01301, 0.03100, 0.00976, 0.02883, 0.08525, 0.00000, 0.00162, 0.00000, 0.00000
D3, CNNResnet, 1, 0.01016, 0.05254, 0.01209, 0.04143, 0.10883, 0.02698, 0.01574, 0.02867, 0.00928, 0.01564, 0.01232, 0.00000, 0.00241, 0.00000, 0.00000
D3, CNNResnet, 2, 0.00878, 0.07495, 0.04400, 0.06557, 0.11614, 0.02659, 0.01781, 0.03122, 0.01405, 0.01543, 0.04248, 0.00000, 0.00376, 0.00000, 0.00000
