dataset, network, layer, 1,2,3,4,5,6,7,8,9
D3, CNNResnet, 4, 0.00000, 0.00000, 0.00000, 0.00000, 0.01646, 0.00000, 0.00000, 0.00000, 0.00000
D3, CNNResnet, 5, 0.00000, 0.00000, 0.00000, 0.00000, 0.00670, 0.00000, 0.00000, 0.00000, 0.00000
D3, SECNNResnet, 0, 0.00000, 0.00000, 0.00000, 0.00000, 0.03205, 0.00000, 0.00000, 0.00000, 0.00000
D3, SECNNResnet, 1, 0.00000, 0.00000, 0.00000, 0.00000, 0.02782, 0.00000, 0.00000, 0.00000, 0.00000
D3, SECNNResnet, 2, 0.00000, 0.00000, 0.00000, 0.00000, 0.02780, 0.00000, 0.00000, 0.00000, 0.00000
D3, SECNNResnet, 3, 0.00000, 0.00000, 0.00000, 0.00000, 0.00106, 0.00000, 0.00000, 0.00000, 0.00000
D3, SECNNResnet, 4, 0.00000, 0.00000, 0.00000, 0.00000, 0.00086, 0.00000, 0.00000, 0.00000, 0.00000
D3, SECNNResnet, 5, 0.00000, 0.00000, 0.00000, 0.00000, 0.01082, 0.00000, 0.00000, 0.00000, 0.00000
D3, SECNNResnet, 6, 0.00000, 0.00000, 0.00000, 0.00000, 0.01116, 0.00000, 0.00000, 0.00000, 0.00000
D3, SECNNResnet, 7, 0.00000, 0.00000, 0.00000, 0.00000, 0.00092, 0.00000, 0.00000, 0.00000, 0.00000
D3, CBAM-CNNResnet, 0, 0.00000, 0.00000, 0.00000, 0.00000, 0.02991, 0.00000, 0.00000, 0.00000, 0.00000
D3, CBAM-CNNResnet, 1, 0.00000, 0.00000, 0.00000, 0.00000, 0.01264, 0.00000, 0.00000, 0.00000, 0.00000
D3, CBAM-CNNResnet, 2, 0.00000, 0.00000, 0.00000, 0.00000, 0.02617, 0.00000, 0.00000, 0.00000, 0.00000
D3, CBAM-CNNResnet, 3, 0.00000, 0.00000, 0.00000, 0.00000, 0.02043, 0.00000, 0.00000, 0.00000, 0.00000
D3, CBAM-CNNResnet, 4, 0.00000, 0.00000, 0.00000, 0.00000, 0.02909, 0.00000, 0.00000, 0.00000, 0.00000
D3, CBAM-CNNResnet, 5, 0.00000, 0.00000, 0.00000, 0.00000, 0.00224, 0.00000, 0.00000, 0.00000, 0.00000
D3, CBAM-CNNResnet, 6, 0.00000, 0.00000, 0.00000, 0.00000, 0.01022, 0.00000, 0.00000, 0.00000, 0.00000
D3, CBAM-CNNResnet, 7, 0.00000, 0.00000, 0.00000, 0.00000, 0.00914, 0.00000, 0.00000, 0.00000, 0.00000
D3, CBAM-CNNResnet, 8, 0.00000, 0.00000, 0.00000, 0.00000, 0.00820, 0.00000, 0.00000, 0.00000, 0.00000
D3, CBAM-CNNResnet, 9, 0.00000, 0.00000, 0.00000, 0.00000, 0.00133, 0.00000, 0.00000, 0.00000, 0.00000
